ssim,psnr,mae,mse,ncc,subject,method
0.9023234844207764,24.904275743583714,0.030679631042096246,0.0032327522722665294,0.9830860550636334,116_S_6750,Plasma (Ours)
0.9013639688491821,23.296464020554954,0.031799974059125054,0.00468116121334532,0.9815229241330928,123_S_10648,Plasma (Ours)
0.9080429077148438,27.718728529629825,0.01746930216520186,0.0016909359092001951,0.9817971203246127,127_S_6024,Plasma (Ours)
0.9460175633430481,33.35788691063887,0.00952562232007614,0.0004615420863806005,0.9916589185756864,127_S_6203,Plasma (Ours)
0.9256392121315002,31.11027092775705,0.013271980988090444,0.0007744134857327289,0.9886277999253116,130_S_6688,Plasma (Ours)
0.8944680094718933,31.728810016987225,0.01232638236052021,0.0006716128521328348,0.9877024716228486,137_S_6919,Plasma (Ours)
0.8734602332115173,28.593373537982245,0.019404072941723315,0.0013824920615293822,0.9862246356940206,941_S_6384,Plasma (Ours)
0.9160776138305664,33.32044434281865,0.009335990910256081,0.00046553846011687715,0.9913455996681746,941_S_6514,Plasma (Ours)
0.867657482624054,30.375955264504224,0.01401005728039123,0.0009170741955986465,0.9827075297011382,941_S_6575,Plasma (Ours)
0.93056321144104,30.296985481929948,0.014609049762344905,0.0009339023146868225,0.9842738546058993,941_S_6854,Plasma (Ours)
0.861942708492279,22.00045413554269,0.04458661372512586,0.006308913696205154,0.9750954964636414,003_S_6260,Legacy
0.8610417246818542,21.760527009519244,0.0411064155314716,0.0066672585817085335,0.9854778425891525,003_S_6644,Legacy
0.9272370934486389,31.010403674003246,0.011066264257001588,0.0007924276714010628,0.9815160099683699,003_S_6833,Legacy
0.9001719355583191,29.47132238544345,0.01784595410116768,0.0011294519549176893,0.9866025065015986,006_S_6243,Legacy
0.8921324610710144,29.406560924813032,0.015149407199115453,0.0011464204052770435,0.9810463697036717,006_S_6441,Legacy
0.8718180656433105,23.98451152922184,0.03144317787229534,0.003995294956827745,0.9568113928617239,006_S_6770,Legacy
0.8855729103088379,26.680914332125592,0.022907163628608153,0.002147378333066385,0.9864499693733985,007_S_4488,Legacy
0.8944591283798218,30.609937827535347,0.01495662072725108,0.000868972869186078,0.9868012824315433,011_S_6465,Legacy
0.8982391953468323,30.327865902685804,0.013926019615386134,0.0009272853739732595,0.9810101883132334,012_S_6760,Legacy
0.9341991543769836,28.646208760402303,0.015309472865825562,0.0013657748902539172,0.9835609142646619,014_S_10157,Legacy
0.968612015247345,35.11175226481637,0.007457719117482569,0.0003081944215354525,0.9917161368674923,014_S_6145,Legacy
0.8780692219734192,29.58731776190821,0.016298458505906437,0.0010996848040353711,0.9799049932834979,019_S_6573,Legacy
0.8998127579689026,24.493550721755692,0.033054852879361704,0.003553406789564791,0.9877843739274751,020_S_6185,Legacy
0.9630935192108154,34.48317569675754,0.007441532101146417,0.00035619058050953713,0.9914842756858983,022_S_10306,Legacy
0.9136051535606384,29.951077958003246,0.014018086168706444,0.001011328402290156,0.9793342757468899,031_S_4721,Legacy
0.8729797601699829,26.3137087046394,0.027263338411383255,0.0023368408158907015,0.9832136678162096,033_S_10099,Legacy
0.8960396647453308,27.608007611494436,0.016835489406427328,0.001734599587797675,0.9776687337176833,033_S_10249,Legacy
0.8705467581748962,27.590061896212315,0.019681765794723766,0.0017417820491112523,0.9689795236981464,033_S_10793,Legacy
0.8478387594223022,24.213401558089526,0.028732356259868273,0.0037901800749633565,0.9790538360952644,033_S_6705,Legacy
0.8636478185653687,26.755971543690528,0.02535816349935399,0.0021105849920406996,0.9847150874535058,033_S_6889,Legacy
0.876736044883728,28.451863409838847,0.017474450803417103,0.001428281000245499,0.9872934081531084,035_S_10241,Legacy
0.9276688098907471,29.493250519989914,0.015351475570002885,0.0011237635671737221,0.9854559670497373,035_S_10274,Legacy
0.9293808341026306,29.379842961130322,0.016257897661982088,0.0011534949669098186,0.9822546501556827,035_S_6488,Legacy
0.8951653242111206,24.95794812065356,0.028208193051900768,0.0031930460938929582,0.9679985407277422,036_S_10133,Legacy
0.9011427760124207,27.931183385716793,0.01880530349995615,0.0016102068187846528,0.9887039685650599,036_S_6466,Legacy
0.8868883848190308,30.589406638636163,0.013635937578999634,0.0008730906475616548,0.9825818908766972,036_S_6897,Legacy
0.8579251766204834,28.724449822910746,0.0163537827021654,0.0013413898558747872,0.9729952768680877,057_S_6869,Legacy
0.9479191303253174,27.78904728769784,0.022320562620775045,0.001663777593421056,0.9893766991113537,067_S_6957,Legacy
0.9139147400856018,24.551897092829122,0.030998311318182436,0.0035059869135844824,0.9875722149457915,070_S_4856,Legacy
0.9376975893974304,32.64041408862483,0.009411232747149938,0.0005444507383891261,0.9830357602708838,094_S_6250,Legacy
0.9012958407402039,22.442668462537128,0.03930106286574668,0.0056981405031408215,0.9874085005891937,094_S_6269,Legacy
0.9180210828781128,23.8974608608995,0.03263352475370895,0.004076185257391223,0.9910852937000927,114_S_6113,Legacy
0.9262900352478027,28.63916193533314,0.01776368340115398,0.001367992783774873,0.9720264457739407,114_S_6429,Legacy
0.9123703241348267,25.284872321513095,0.028802425304845915,0.002961507029631676,0.9849944954007751,116_S_6750,Legacy
